"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.Dor.out","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","TaxLabel","significance_label"
"ASV1331","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0986320572419256,4.83449010478959,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,-3.76127602976908,-5.66762915679849,5.79776757242046,11.2208453294741,2.45008386052257,4.83449010478959,0.000547999460257121,0.0154581573285177,0.0986320572419256,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,NA,"Significant"
"ASV1331","DESeq2",31.3340241105224,8.31811201934848,1.47411333551596,5.64279002091589,1.6731635891285e-08,4.44816661500015e-08,"deseq2",4.44816661500015e-08,8.31811201934848,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,NA,"Significant"
"ASV1334","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.435229953556635,-2.19275707453651,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Dasania",NA,1.36520812261855,1.79533421784267,-2.95782224141378,-4.77602388791736,2.16241569664082,-2.19275707453651,0.00782930484115282,0.1309334192107,0.435229953556635,0.20625,0.465700845690547,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Dasania","Significant"
"ASV1334","DESeq2",35.1408737718842,-8.95145471066369,1.60944199317235,-5.56183742479566,2.66948925023845e-08,6.7668448436277e-08,"deseq2",6.7668448436277e-08,-8.95145471066369,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Dasania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Dasania","Significant"
"ASV141","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.504447250619106,-1.84874013330541,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,0.961107851161006,1.88150751339692,-3.1229491504087,-4.8274875338146,2.53819154950214,-1.84874013330541,0.00782930484115282,0.157951660276015,0.504447250619106,0.2015625,0.461807767653448,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Synechococcus CC9902","Significant"
"ASV141","DESeq2",29.2703767195298,-8.67023066458805,1.57706686459072,-5.49769376255213,3.8479040808621e-08,9.5323078366811e-08,"deseq2",9.5323078366811e-08,-8.67023066458805,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Synechococcus CC9902","Significant"
"ASV1415","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.994772352053192,-0.30936581121586,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",NA,2.08951821946223,2.08951821946223,1.92228547140151,-0.94036802549632,3.92327996031431,-0.30936581121586,0.410853174248917,0.610376718046117,0.994772352053192,0.889062499999999,1,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Yoonia-Loktanella","Significant"
"ASV1415","DESeq2",51.0649422692259,-4.21612204626391,1.3418062638685,-3.14212428410389,0.00167726823130634,0.00237431476899209,"deseq2",0.00237431476899209,-4.21612204626391,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Yoonia-Loktanella","Significant"
"ASV1467","DESeq2",19.1001063765571,7.60253696712534,1.2877518261494,5.90372835258037,3.55377146637567e-09,1.34000280204412e-08,"deseq2",1.34000280204412e-08,7.60253696712534,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,NA,"Significant"
"ASV1467","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.102981440718246,4.19507681691126,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,-3.62294006365983,-5.81318542461014,5.16239468994527,10.7344846565132,2.54210681415954,4.19507681691126,0.000547999460257121,0.017313859955765,0.102981440718246,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,NA,"Significant"
